bbox85,image5,edge
tagPerson,bbox86,edge
bbox86,image5,edge
tagPerson,bbox87,edge
bbox87,image5,edge
tagPerson,bbox88,edge
bbox88,image5,edge
tagPerson,bbox89,edge
bbox89,image5,edge
tagSky,bbox90,edge
bbox90,image5,edge
tagPants,bbox91,edge
bbox91,image5,edge
tagPants,bbox92,edge
bbox92,image5,edge
tagPants,bbox93,edge
bbox93,image5,edge
tagPants,bbox94,edge
bbox94,image5,edge
tagSki,bbox95,edge
bbox95,image5,edge
tagPerson,bbox96,edge
bbox96,image5,edge
tagPerson,bbox97,edge
bbox97,image5,edge
tagPerson,bbox98,edge
bbox98,image5,edge
tagSki,bbox99,edge
bbox99,image5,edge
tagSki,bbox100,edge
bbox100,image5,edge
tagSki,bbox101,edge
bbox101,image5,edge
tagSki,bbox102,edge
bbox102,image5,edge
tagSki,bbox103,edge
bbox103,image5,edge
tagSki,bbox104,edge
bbox104,image5,edge
tagSki,bbox105,edge
bbox105,image5,edge
tagSki,bbox106,edge
bbox106,image5,edge
tagSki,bbox107,edge
bbox107,image5,edge
tagPerson,bbox108,edge
bbox108,image5,edge
tagHuman,bbox109,edge
bbox109,image5,edge
tagPerson,bbox110,edge
bbox110,image5,edge
tagPerson,bbox111,edge
bbox111,image5,edge
tagPerson,bbox112,edge
bbox112,image5,edge
tagPerson,bbox113,edge
bbox113,image5,edge
tagPerson,bbox114,edge
bbox114,image5,edge
tagSnow,bbox115,edge
bbox115,image5,edge
tagNature,bbox116,edge
bbox116,image5,edge
tagSports,bbox117,edge
bbox117,image5,edge
tagOutdoors,bbox118,edge
bbox118,image5,edge
tagPiste,bbox119,edge
bbox119,image5,edge
tagSport,bbox120,edge
bbox120,image5,edge
tagAbies,bbox121,edge
bbox121,image5,edge
tagFir,bbox122,edge
bbox122,image5,edge
tagPlant,bbox123,edge
bbox123,image5,edge
tagTree,bbox124,edge
bbox124,image5,edge
bbox93,bbox89,relationships,20,on
bbox91,bbox89,relationships,21,on
bbox92,bbox89,relationships,22,on
bbox94,bbox89,relationships,23,on
bbox91,bbox86,relationships,24,on
bbox94,bbox86,relationships,25,on
bbox92,bbox86,relationships,26,on
bbox94,bbox87,relationships,27,on
bbox93,bbox86,relationships,28,on
bbox91,bbox88,relationships,29,on
countryUnited States of America,stateWashington,edge
stateWashington,city ofWashington,edge
city ofWashington,image5,edge
